InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536367,21755,LOVE BUILDING BLOCK WORD,3,12/1/2010 8:34,5.95,13047,United Kingdom
536367,21777,RECIPE BOX WITH METAL HEART,4,12/1/2010 8:34,7.95,13047,United Kingdom
536367,48187,DOORMAT NEW ENGLAND,4,12/1/2010 8:34,7.95,13047,United Kingdom
536368,22960,JAM MAKING SET WITH JARS,6,12/1/2010 8:34,4.25,13047,United Kingdom
536368,22913,RED COAT RACK PARIS FASHION,3,12/1/2010 8:34,4.95,13047,United Kingdom
536368,22912,YELLOW COAT RACK PARIS FASHION,3,12/1/2010 8:34,4.95,13047,United Kingdom
536368,22914,BLUE COAT RACK PARIS FASHION,3,12/1/2010 8:34,4.95,13047,United Kingdom
536369,21756,BATH BUILDING BLOCK WORD,3,12/1/2010 8:35,5.95,13047,United Kingdom
536370,22728,updated1,3,12/1/2010 8:45,3.75,12583,Belguim
536370,22727,updated3,4,12/1/2010 8:45,3.75,12583,Belguim
536370,22726,updated2,5,12/1/2010 8:45,3.75,12583,Belguim
536370,21724,PANDA AND BUNNIES STICKER SHEET,6,12/1/2010 8:45,0.85,12583,Belguim
536370,21883,STARS GIFT TAPE ,7,12/1/2010 8:45,0.65,12583,Belguim
536370,10002,INFLATABLE POLITICAL GLOBE ,8,12/1/2010 8:45,0.85,12583,Belguim
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,9,12/1/2010 8:45,1.25,12583,Belguim
536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,10,12/1/2010 8:45,2.95,12583,Belguim
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,11,12/1/2010 8:45,2.95,12583,Belguim
536370,22629,SPACEBOY LUNCH BOX ,12,12/1/2010 8:45,1.95,12583,Belguim
536370,22659,LUNCH BOX I LOVE LONDON,13,12/1/2010 8:45,1.95,12583,Belguim
536370,22631,CIRCUS PARADE LUNCH BOX ,14,12/1/2010 8:45,1.95,12583,Belguim
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,15,12/1/2010 8:45,0.85,12583,Belguim
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,16,12/1/2010 8:45,1.65,12583,Belguim
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,17,12/1/2010 8:45,2.95,12583,Belguim
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,18,12/1/2010 8:45,3.75,12583,Belguim
536370,22540,MINI JIGSAW CIRCUS PARADE ,19,12/1/2010 8:45,0.42,12583,Belguim
536370,22544,MINI JIGSAW SPACEBOY,20,12/1/2010 8:45,0.42,12583,Belguim
536370,22492,MINI PAINT SET VINTAGE ,21,12/1/2010 8:45,0.65,12583,Belguim
536370,POST,POSTAGE,22,12/1/2010 8:45,18,12583,Belguim
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,12/1/2010 9:00,2.55,13748,United Kingdom
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,2/2/2014 9:00,2.55,13748,United Kingdom
