InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
571846,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,7,10/19/2011 12:35,1.25,17841,United Kingdom
571846,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,1,10/19/2011 12:35,1.25,17841,United Kingdom
571846,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,1,10/19/2011 12:35,1.25,17841,United Kingdom
571846,22595,GINGHAM HEART DECORATION,2,10/19/2011 12:35,0.85,17841,United Kingdom
571846,22594,CHRISTMAS GINGHAM TREE,2,10/19/2011 12:35,0.85,17841,United Kingdom
571846,22593,CHRISTMAS GINGHAM STAR,2,10/19/2011 12:35,0.85,17841,United Kingdom
571846,84836,ZINC METAL HEART DECORATION,2,10/19/2011 12:35,1.25,17841,United Kingdom
571846,23265,SET OF 3 WOODEN TREE DECORATIONS,9,10/19/2011 12:35,1.25,17841,United Kingdom
571846,23166,MEDIUM CERAMIC TOP STORAGE JAR,2,10/19/2011 12:35,1.25,17841,United Kingdom
571846,23165,LARGE CERAMIC TOP STORAGE JAR,2,10/19/2011 12:35,1.65,17841,United Kingdom
571846,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,5,10/19/2011 12:35,1.25,17841,United Kingdom
571846,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,5,10/19/2011 12:35,1.25,17841,United Kingdom
571846,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,6,10/19/2011 12:35,1.25,17841,United Kingdom
571846,22675,FRENCH KITCHEN SIGN BLUE METAL,6,10/19/2011 12:35,1.25,17841,United Kingdom
571846,22666,RECIPE BOX PANTRY YELLOW DESIGN,1,10/19/2011 12:35,2.95,17841,United Kingdom
571846,23321,SMALL WHITE HEART OF WICKER,1,10/19/2011 12:35,1.65,17841,United Kingdom
571846,22469,HEART OF WICKER SMALL,1,10/19/2011 12:35,1.65,17841,United Kingdom
571846,21981,PACK OF 12 WOODLAND TISSUES ,8,10/19/2011 12:35,0.39,17841,United Kingdom
571846,21982,PACK OF 12 SUKI TISSUES ,8,10/19/2011 12:35,0.39,17841,United Kingdom
571846,21754,HOME BUILDING BLOCK WORD,3,10/19/2011 12:35,6.25,17841,United Kingdom
571846,23400,SHELF WITH 4 HOOKS HOME SWEET HOME,2,10/19/2011 12:35,6.25,17841,United Kingdom
571846,23404,HOME SWEET HOME BLACKBOARD,2,10/19/2011 12:35,4.95,17841,United Kingdom
571846,22674,FRENCH TOILET SIGN BLUE METAL,7,10/19/2011 12:35,1.25,17841,United Kingdom
571846,20719,WOODLAND CHARLOTTE BAG,5,10/19/2011 12:35,0.85,17841,United Kingdom
571846,22355,CHARLOTTE BAG SUKI DESIGN,5,10/19/2011 12:35,0.85,17841,United Kingdom
571846,23241,TREASURE TIN GYMKHANA DESIGN,1,10/19/2011 12:35,2.08,17841,United Kingdom
571846,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1,10/19/2011 12:35,4.95,17841,United Kingdom
571846,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,10/19/2011 12:35,1.25,17841,United Kingdom
571846,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,10/19/2011 12:35,1.45,17841,United Kingdom
571846,21671,RED SPOT CERAMIC DRAWER KNOB,6,10/19/2011 12:35,1.45,17841,United Kingdom
571846,21668,RED STRIPE CERAMIC DRAWER KNOB,6,10/19/2011 12:35,1.45,17841,United Kingdom
571846,21669,BLUE STRIPE CERAMIC DRAWER KNOB,6,10/19/2011 12:35,1.45,17841,United Kingdom
571846,21670,BLUE SPOT CERAMIC DRAWER KNOB,6,10/19/2011 12:35,1.45,17841,United Kingdom
571846,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,6,10/19/2011 12:35,1.45,17841,United Kingdom
571846,22488,NATURAL SLATE RECTANGLE CHALKBOARD,6,10/19/2011 12:35,1.65,17841,United Kingdom
571846,47566,PARTY BUNTING,2,10/19/2011 12:35,4.95,17841,United Kingdom
571846,23298,SPOTTY BUNTING,1,10/19/2011 12:35,4.95,17841,United Kingdom
571846,23323,WHITE WICKER STAR ,6,10/19/2011 12:35,2.1,17841,United Kingdom
571846,84596F,SMALL MARSHMALLOWS PINK BOWL,8,10/19/2011 12:35,0.42,17841,United Kingdom
571846,22766,PHOTO FRAME CORNICE,2,10/19/2011 12:35,2.95,17841,United Kingdom
571846,82482,WOODEN PICTURE FRAME WHITE FINISH,4,10/19/2011 12:35,2.95,17841,United Kingdom
571847,23532,WALL ART WORK REST AND PLAY  ,3,10/19/2011 12:39,4.95,15220,United Kingdom
571847,23535,WALL ART BICYCLE SAFETY,4,10/19/2011 12:39,5.95,15220,United Kingdom
571847,23397,FOOT STOOL HOME SWEET HOME ,2,10/19/2011 12:39,9.95,15220,United Kingdom
571847,23411, TRELLIS COAT RACK,6,10/19/2011 12:39,4.95,15220,United Kingdom
571847,23427,STOOL HOME SWEET HOME ,2,10/19/2011 12:39,12.5,15220,United Kingdom
