InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536370,22728,ALARM CLOCK BAKELIKE PINK,24,12/1/2010 8:45,3.75,12583,Egypt
536370,22727,ALARM CLOCK BAKELIKE RED ,24,12/1/2010 8:45,3.75,12583,Egypt
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,12/1/2010 8:45,3.75,12583,Egypt
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,12/1/2010 8:45,0.85,12583,Egypt
536370,21883,STARS GIFT TAPE ,24,12/1/2010 8:45,0.65,12583,Egypt
536370,10002,INFLATABLE POLITICAL GLOBE ,48,12/1/2010 8:45,0.85,12583,Egypt
536370,21791,VINTAGE HEADS AND TAILS CARD GAME ,24,12/1/2010 8:45,1.25,12583,Egypt
536370,21035,SET/2 RED RETROSPOT TEA TOWELS ,18,12/1/2010 8:45,2.95,12583,Egypt
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12/1/2010 8:45,2.95,12583,Egypt
536370,22629,SPACEBOY LUNCH BOX ,24,12/1/2010 8:45,1.95,12583,Egypt
536370,22659,LUNCH BOX I LOVE LONDON,24,12/1/2010 8:45,1.95,12583,Egypt
536370,22631,CIRCUS PARADE LUNCH BOX ,24,12/1/2010 8:45,1.95,12583,Egypt
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/1/2010 8:45,0.85,12583,Egypt
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,12/1/2010 8:45,1.65,12583,Egypt
536370,22900, SET 2 TEA TOWELS I LOVE LONDON ,24,12/1/2010 8:45,2.95,12583,Egypt
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,12/1/2010 8:45,3.75,12583,Egypt
536370,22540,MINI JIGSAW CIRCUS PARADE ,24,12/1/2010 8:45,0.42,12583,Egypt
536370,22544,MINI JIGSAW SPACEBOY,24,12/1/2010 8:45,0.42,12583,Egypt
536370,22492,MINI PAINT SET VINTAGE ,36,12/1/2010 8:45,0.65,12583,Egypt
536370,POST,POSTAGE,3,12/1/2010 8:45,18,12583,Egypt
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,12/1/2010 9:00,2.55,13748,United Kingdom
536372,22632,HAND WARMER RED POLKA DOT,6,12/1/2010 9:01,1.85,17850,United Kingdom
